,Cowichan River Skutz Falls,Cowichan River Skutz Falls,Cowichan River Skutz Falls
6/20/2025 11:00,17.58,7.64,9.81
6/20/2025 12:00,17.79,7.68,9.79
6/20/2025 13:00,17.89,7.68,9.72
6/20/2025 14:00,18.06,7.7,9.73
6/20/2025 15:00,18.35,7.73,9.7
6/20/2025 16:00,18.67,7.71,9.55
6/20/2025 17:00,18.67,7.68,9.42
6/20/2025 18:00,18.67,7.65,9.35
6/20/2025 19:00,18.65,7.65,9.36
6/20/2025 20:00,18.56,7.62,9.29
6/20/2025 21:00,18.35,7.53,9.1
6/20/2025 22:00,18.09,7.47,9
6/20/2025 23:00,17.81,7.44,8.97
6/21/2025 0:00,17.58,7.41,8.94
6/21/2025 1:00,17.38,7.39,8.97
6/21/2025 2:00,17.18,7.39,9
6/21/2025 3:00,17.01,7.38,9.03
6/21/2025 4:00,16.89,7.38,9.05
6/21/2025 5:00,16.78,7.37,9.08
6/21/2025 6:00,16.68,7.37,9.12
6/21/2025 7:00,16.63,7.38,9.18
6/21/2025 8:00,16.63,7.41,9.29
6/21/2025 9:00,16.65,7.44,9.35
6/21/2025 10:00,16.71,7.48,9.51
6/21/2025 11:00,16.82,7.52,9.62
6/21/2025 12:00,16.97,7.57,9.72
6/21/2025 13:00,17.13,7.61,9.76
6/21/2025 14:00,17.23,7.62,9.74
6/21/2025 15:00,17.47,7.66,9.81
6/21/2025 16:00,17.75,7.66,9.78
6/21/2025 17:00,17.89,7.57,9.44
6/21/2025 18:00,18.04,7.54,9.38
6/21/2025 19:00,18.05,7.65,9.26
6/21/2025 20:00,17.96,7.59,9.2
6/21/2025 21:00,17.83,7.55,9.31
6/21/2025 22:00,17.68,7.28,8.35
6/21/2025 23:00,17.51,7.43,9.11
6/22/2025 0:00,17.34,7.41,9.06
6/22/2025 1:00,17.2,7.37,9.07
6/22/2025 2:00,17.1,7.32,8.73
6/22/2025 3:00,17.01,7.36,9.08
6/22/2025 4:00,16.93,7.35,8.99
6/22/2025 5:00,16.87,7.32,8.79
6/22/2025 6:00,16.82,7.29,8.83
6/22/2025 7:00,16.81,7.36,8.88
6/22/2025 8:00,16.85,7.38,9.29
6/22/2025 9:00,16.94,7.4,9.33
6/22/2025 10:00,17.04,7.44,9.28
6/22/2025 11:00,17.15,7.43,9.11
6/22/2025 12:00,17.3,7.18,8
6/22/2025 13:00,17.43,7.45,9.21
6/22/2025 14:00,17.52,7.5,9.51
6/22/2025 15:00,17.6,7.4,8.76
6/22/2025 16:00,17.78,7.46,9.17
6/22/2025 17:00,17.95,7.48,9.22
6/22/2025 18:00,18.08,7.4,8.56
6/22/2025 19:00,17.96,7.58,9.44
6/22/2025 20:00,17.83,7.58,9.27
6/22/2025 21:00,17.66,7.23,8.11
6/22/2025 22:00,17.49,7.31,8.6
6/22/2025 23:00,17.32,7.27,8.56
6/23/2025 0:00,17.11,7.34,8.86
6/23/2025 1:00,16.9,7.33,8.9
6/23/2025 2:00,16.69,7.36,9.11
6/23/2025 3:00,16.52,7.3,9.11
6/23/2025 4:00,16.38,7.36,9.2
6/23/2025 5:00,16.28,7.33,9.23
6/23/2025 6:00,16.22,7.31,9.12
6/23/2025 7:00,16.2,7.36,8.94
6/23/2025 8:00,16.29,7.42,9.52
6/23/2025 9:00,16.51,7.44,9
6/23/2025 10:00,16.91,7.23,8.51
6/23/2025 11:00,17.53,7.27,8.28
6/23/2025 12:00,18.24,7.28,7.41
6/23/2025 13:00,18.91,7.19,7.56
6/23/2025 14:00,19.57,7.29,7.94
6/23/2025 15:00,19.97,7.09,6.93
6/23/2025 16:00,20.35,7.01,5.87
6/23/2025 17:00,20.67,7.24,7.16
6/23/2025 18:00,20.74,7.31,8.09
6/23/2025 19:00,20.57,7.38,7.24
6/23/2025 20:00,20.27,7.52,8.76
6/23/2025 21:00,19.76,7.39,8.57
6/23/2025 22:00,19.33,7.38,8.54
6/23/2025 23:00,18.96,7.28,8.11
6/24/2025 0:00,18.61,7.32,8.43
6/24/2025 1:00,18.27,7.32,8.59
6/24/2025 2:00,17.97,7.3,8.53
6/24/2025 3:00,17.68,7.32,8.71
6/24/2025 4:00,17.42,7.27,8.6
6/24/2025 5:00,17.2,7.24,8.62
6/24/2025 6:00,17,7.16,8.53
6/24/2025 7:00,16.87,7.28,8.95
6/24/2025 8:00,16.85,7.33,9.15
6/24/2025 9:00,17.02,7.09,7.63
6/24/2025 10:00,17.45,7.32,8.96
6/24/2025 11:00,17.9,7.23,8.35
6/24/2025 12:00,18.44,7.4,9.02
6/24/2025 13:00,18.93,7.3,8.41
6/24/2025 14:00,19.34,7.37,8.35
6/24/2025 15:00,19.46,7.2,7.79
6/24/2025 16:00,19.71,7.21,7.9
6/24/2025 17:00,19.8,7.3,7.75
6/24/2025 18:00,19.73,7.41,7.92
6/24/2025 19:00,19.59,7.48,7.72
6/24/2025 20:00,19.32,7.33,8.36
6/24/2025 21:00,19,7.27,8.31
6/24/2025 22:00,18.73,7.43,8.9
6/24/2025 23:00,18.46,7.39,8.81
6/25/2025 0:00,18.22,7.36,8.81
6/25/2025 1:00,17.98,7.35,8.84
6/25/2025 2:00,17.78,7.33,8.85
6/25/2025 3:00,17.59,7.36,8.97
6/25/2025 4:00,17.42,7.26,8.39
6/25/2025 5:00,17.27,7.28,8.68
6/25/2025 6:00,17.15,7.36,9.03
6/25/2025 7:00,17.08,7.38,9.14
6/25/2025 8:00,17.09,7.35,9.16
6/25/2025 9:00,17.15,7.44,9.3
6/25/2025 10:00,17.24,7.5,9.54
6/25/2025 11:00,17.44,7.52,9.58
6/25/2025 12:00,17.61,7.59,9.63
6/25/2025 13:00,17.84,7.59,9.6
6/25/2025 14:00,16.63,7.59,9.93
6/25/2025 15:00,18.38,7.83,9.89
6/25/2025 16:00,18.95,7.88,9.83
6/25/2025 17:00,19.43,7.88,9.68
6/25/2025 18:00,19.16,7.86,9.63
6/25/2025 19:00,19.09,7.83,9.54
6/25/2025 20:00,18.93,7.75,9.41
6/25/2025 21:00,18.54,7.66,9.3
6/25/2025 22:00,18.13,7.58,9.2
6/25/2025 23:00,17.75,7.52,9.16
6/26/2025 0:00,17.44,7.49,9.17
6/26/2025 1:00,17.2,7.47,9.19
6/26/2025 2:00,17.03,7.46,9.21
6/26/2025 3:00,16.88,7.45,9.24
6/26/2025 4:00,16.74,7.45,9.26
6/26/2025 5:00,16.61,7.45,9.29
6/26/2025 6:00,16.52,7.45,9.34
6/26/2025 7:00,16.51,7.48,9.46
6/26/2025 8:00,16.53,7.52,9.61
6/26/2025 9:00,16.65,7.58,9.78
6/26/2025 10:00,16.82,7.65,9.89
6/26/2025 11:00,17.02,7.7,9.96
6/26/2025 12:00,17.57,7.78,10.04
6/26/2025 13:00,17.91,7.82,9.99
6/26/2025 14:00,17.98,7.84,9.92
6/26/2025 15:00,18.05,7.82,9.81
6/26/2025 16:00,18.05,7.8,9.74
6/26/2025 17:00,18.06,7.78,9.69
6/26/2025 18:00,18.04,7.77,9.65
6/26/2025 19:00,17.95,7.72,9.57
6/26/2025 20:00,17.82,7.65,9.47
6/26/2025 21:00,17.65,7.59,9.35
6/26/2025 22:00,17.49,7.53,9.27
6/26/2025 23:00,17.33,7.5,9.22
6/27/2025 0:00,17.18,7.48,9.22
6/27/2025 1:00,17.04,7.47,9.22
6/27/2025 2:00,16.9,7.46,9.24
6/27/2025 3:00,16.79,7.46,9.26
6/27/2025 4:00,16.64,7.45,9.29
6/27/2025 5:00,16.52,7.45,9.32
6/27/2025 6:00,16.44,7.46,9.38
6/27/2025 7:00,16.4,7.49,9.53
6/27/2025 8:00,16.47,7.54,9.7
6/27/2025 9:00,16.61,7.6,9.84
6/27/2025 10:00,16.71,7.64,9.88
6/27/2025 11:00,16.8,7.66,9.88
6/27/2025 12:00,16.85,7.67,9.87
6/27/2025 13:00,17.03,7.72,9.97
6/27/2025 14:00,17.2,7.77,10.01
6/27/2025 15:00,17.4,7.82,10.04
6/27/2025 16:00,17.62,7.85,10.03
6/27/2025 17:00,17.69,7.82,9.93
6/27/2025 18:00,17.81,7.84,9.92
6/27/2025 19:00,17.85,7.82,9.84
6/27/2025 20:00,17.78,7.76,9.72
6/27/2025 21:00,17.59,7.65,9.54
6/27/2025 22:00,17.41,7.57,9.41
6/27/2025 23:00,17.26,7.52,9.34
6/28/2025 0:00,17.12,7.48,9.31
6/28/2025 1:00,16.99,7.46,9.3
6/28/2025 2:00,16.89,7.46,9.3
6/28/2025 3:00,16.79,7.45,9.32
6/28/2025 4:00,16.69,7.44,9.34
6/28/2025 5:00,16.57,7.44,9.35
6/28/2025 6:00,16.47,7.45,9.42
6/28/2025 7:00,16.42,7.46,9.54
6/28/2025 8:00,16.51,7.52,9.72
6/28/2025 9:00,16.84,7.58,9.87
6/28/2025 10:00,17.38,7.66,9.97
6/28/2025 11:00,18.06,7.72,10
6/28/2025 12:00,18.74,7.77,9.99
6/28/2025 13:00,19.27,7.81,9.87
6/28/2025 14:00,19.65,7.87,9.87
6/28/2025 15:00,20.21,7.89,9.78
6/28/2025 16:00,20.5,7.92,9.64
6/28/2025 17:00,20.65,7.92,9.53
6/28/2025 18:00,20.63,7.88,9.43
6/28/2025 19:00,20.29,7.81,9.35
6/28/2025 20:00,20.01,7.72,9.26
6/28/2025 21:00,19.81,7.65,9.14
6/28/2025 22:00,19.5,7.57,9.01
6/28/2025 23:00,19.12,7.52,8.98
6/29/2025 0:00,18.75,7.49,8.98
6/29/2025 1:00,18.4,7.46,9.02
6/29/2025 2:00,18.07,7.45,9.06
6/29/2025 3:00,17.78,7.44,9.12
6/29/2025 4:00,17.53,7.44,9.17
6/29/2025 5:00,17.31,7.42,9.21
6/29/2025 6:00,17.13,7.43,9.29
6/29/2025 7:00,17,7.46,9.43
6/29/2025 8:00,16.99,7.5,9.59
6/29/2025 9:00,17.26,7.57,9.78
6/29/2025 10:00,17.81,7.65,9.9
6/29/2025 11:00,18.49,7.72,9.94
6/29/2025 12:00,19.25,7.78,9.91
6/29/2025 13:00,19.98,7.83,9.87
6/29/2025 14:00,20.64,7.88,9.75
6/29/2025 15:00,21.2,7.91,9.64
6/29/2025 16:00,21.64,7.93,9.48
6/29/2025 17:00,21.87,7.9,9.28
6/29/2025 18:00,21.94,7.86,9.15
6/29/2025 20:00,21.45,7.71,8.95
6/29/2025 21:00,20.94,7.62,8.85
6/29/2025 22:00,20.38,7.55,8.78
6/29/2025 23:00,19.88,7.49,8.76
6/30/2025 0:00,19.45,7.46,8.79
6/30/2025 1:00,19.07,7.45,8.83
6/30/2025 2:00,18.72,7.43,8.89
6/30/2025 3:00,18.4,7.43,8.95
6/30/2025 4:00,18.11,7.42,9
6/30/2025 5:00,17.87,7.41,9.04
6/30/2025 6:00,17.66,7.42,9.12
6/30/2025 7:00,17.53,7.44,9.24
6/30/2025 8:00,17.5,7.48,9.42
6/30/2025 9:00,17.76,7.53,9.59
6/30/2025 10:00,18.29,7.61,9.71
6/30/2025 11:00,19,7.68,9.76
6/30/2025 12:00,19.76,7.74,9.74
6/30/2025 13:00,20.52,7.8,9.69
6/30/2025 14:00,21.2,7.85,9.6
6/30/2025 15:00,21.77,7.89,9.46
6/30/2025 16:00,22.15,7.9,9.3
6/30/2025 17:00,22.17,7.87,9.15
6/30/2025 18:00,22.27,7.82,9.03
6/30/2025 19:00,22.18,7.75,8.9
6/30/2025 20:00,21.81,7.67,8.83
6/30/2025 21:00,21.39,7.59,8.74
6/30/2025 22:00,20.85,7.53,8.65
6/30/2025 23:00,20.34,7.49,8.65
7/1/2025 0:00,19.9,7.46,8.68
7/1/2025 1:00,19.51,7.44,8.72
7/1/2025 2:00,19.17,7.44,8.78
7/1/2025 3:00,18.85,7.42,8.83
7/1/2025 4:00,18.58,7.42,8.88
7/1/2025 5:00,18.33,7.4,8.94
7/1/2025 6:00,18.12,7.41,9.02
7/1/2025 7:00,17.98,7.44,9.15
7/1/2025 8:00,17.95,7.47,9.29
7/1/2025 9:00,18.2,7.53,9.48
7/1/2025 10:00,18.72,7.61,9.59
7/1/2025 11:00,19.39,7.68,9.64
7/1/2025 12:00,20.15,7.73,9.61
7/1/2025 13:00,20.92,7.79,9.56
7/1/2025 14:00,21.62,7.84,9.46
7/1/2025 15:00,22.21,7.86,9.31
7/1/2025 16:00,22.66,7.87,9.17
7/1/2025 17:00,22.93,7.84,8.97
7/1/2025 18:00,22.99,7.81,8.83
7/1/2025 19:00,22.79,7.76,8.73
7/1/2025 20:00,22.33,7.69,8.67
7/1/2025 21:00,21.79,7.6,8.6
7/1/2025 22:00,21.23,7.54,8.54
7/1/2025 23:00,20.71,7.5,8.52
7/2/2025 0:00,20.27,7.48,8.57
7/2/2025 1:00,19.9,7.46,8.62
7/2/2025 2:00,19.54,7.46,8.66
7/2/2025 3:00,19.17,7.45,8.73
7/2/2025 4:00,18.87,7.45,8.79
7/2/2025 5:00,18.64,7.44,8.84
7/2/2025 6:00,18.4,7.45,8.92
7/2/2025 7:00,18.27,7.47,9.07
7/2/2025 8:00,18.26,7.53,9.23
7/2/2025 9:00,18.56,7.61,9.46
7/2/2025 10:00,18.86,7.7,9.56
7/2/2025 11:00,19.33,7.78,9.63
7/2/2025 12:00,20,7.83,9.63
7/2/2025 13:00,20.65,7.83,9.57
7/2/2025 14:00,21.37,7.89,9.46
7/2/2025 15:00,21.83,7.89,9.31
7/2/2025 16:00,22.17,7.88,9.2
7/2/2025 17:00,22.25,7.84,9.01
7/2/2025 18:00,22.24,7.81,8.92
7/2/2025 19:00,21.95,7.74,8.84
7/2/2025 20:00,21.51,7.7,8.8
7/2/2025 21:00,20.93,7.61,8.71
7/2/2025 22:00,20.38,7.57,8.69
7/2/2025 23:00,19.9,7.52,8.69
7/3/2025 0:00,19.48,7.49,8.73
7/3/2025 1:00,19.09,7.47,8.78
7/3/2025 2:00,18.76,7.46,8.84
7/3/2025 3:00,18.47,7.46,8.9
7/3/2025 4:00,18.22,7.44,8.95
7/3/2025 5:00,18,7.45,8.99
7/3/2025 6:00,17.84,7.45,9.06
7/3/2025 7:00,17.75,7.48,9.17
7/3/2025 8:00,17.74,7.52,9.32
7/3/2025 9:00,17.97,7.59,9.49
7/3/2025 10:00,18.42,7.65,9.6
7/3/2025 11:00,19.04,7.71,9.64
7/3/2025 12:00,19.76,7.77,9.63
7/3/2025 13:00,20.26,7.83,9.62
7/3/2025 14:00,20.75,7.82,9.55
7/3/2025 15:00,21.24,7.87,9.39
7/3/2025 16:00,21.21,7.86,9.29
7/3/2025 17:00,21.17,7.84,9.19
7/3/2025 18:00,21.4,7.82,9.11
7/3/2025 19:00,21.49,7.77,9
7/3/2025 20:00,21.35,7.72,8.9
7/3/2025 21:00,21.03,7.64,8.78
7/3/2025 22:00,20.55,7.56,8.71
7/3/2025 23:00,20.08,7.5,8.67
7/4/2025 0:00,19.69,7.49,8.73
7/4/2025 1:00,19.37,7.47,8.76
7/4/2025 2:00,19.09,7.46,8.8
7/4/2025 3:00,18.83,7.46,8.86
7/4/2025 4:00,18.58,7.45,8.91
7/4/2025 5:00,18.37,7.45,8.94
7/4/2025 6:00,18.19,7.45,9.01
7/4/2025 7:00,18.08,7.47,9.12
7/4/2025 8:00,18.07,7.51,9.26
7/4/2025 9:00,18.27,7.54,9.41
7/4/2025 10:00,18.78,7.62,9.5
7/4/2025 11:00,19.45,7.71,9.58
7/4/2025 12:00,20.2,7.77,9.58
7/4/2025 13:00,20.61,7.8,9.48
7/4/2025 14:00,21.05,7.83,9.41
7/4/2025 15:00,21.29,7.88,9.37
7/4/2025 16:00,21.24,7.86,9.31
7/4/2025 17:00,21.94,7.9,9.24
7/4/2025 18:00,22.24,7.87,9.1
7/4/2025 19:00,22.26,7.83,8.98
7/4/2025 20:00,22.03,7.77,8.89
7/4/2025 21:00,21.52,7.67,8.79
7/4/2025 22:00,20.94,7.58,8.7
7/4/2025 23:00,20.47,7.53,8.69
7/5/2025 0:00,20.02,7.51,8.74
7/5/2025 1:00,19.6,7.49,8.79
7/5/2025 2:00,19.18,7.48,8.84
7/5/2025 3:00,18.85,7.46,8.91
7/5/2025 4:00,18.57,7.46,8.98
7/5/2025 5:00,18.34,7.45,9.03
7/5/2025 6:00,18.17,7.46,9.1
7/5/2025 7:00,18.08,7.5,9.27
7/5/2025 8:00,18.03,7.55,9.46
7/5/2025 9:00,18.16,7.61,9.61
7/5/2025 10:00,18.58,7.68,9.72
7/5/2025 11:00,19.06,7.76,9.79
7/5/2025 12:00,19.52,7.83,9.83
7/5/2025 13:00,20.01,7.88,9.8
7/5/2025 14:00,20.24,7.92,9.76
7/5/2025 15:00,20.58,7.96,9.71
7/5/2025 16:00,20.76,7.98,9.63
7/5/2025 17:00,20.85,7.99,9.57
7/5/2025 18:00,20.97,7.94,9.41
7/5/2025 19:00,20.95,7.86,9.28
7/5/2025 20:00,20.78,7.77,9.17
7/5/2025 21:00,20.46,7.67,9.06
7/5/2025 22:00,20.06,7.58,8.96
7/5/2025 23:00,19.69,7.54,8.92
7/6/2025 0:00,19.41,7.51,8.92
7/6/2025 1:00,19.17,7.49,8.94
7/6/2025 2:00,18.93,7.47,8.97
7/6/2025 3:00,18.71,7.48,9.01
7/6/2025 4:00,18.51,7.46,9.05
7/6/2025 5:00,18.32,7.45,9.08
7/6/2025 6:00,18.16,7.46,9.15
7/6/2025 7:00,18.07,7.49,9.27
7/6/2025 8:00,18.09,7.53,9.43
7/6/2025 9:00,18.4,7.61,9.64
7/6/2025 10:00,18.71,7.7,9.76
7/6/2025 11:00,19.27,7.78,9.83
7/6/2025 12:00,20.08,7.83,9.8
7/6/2025 13:00,20.86,7.88,9.7
7/6/2025 14:00,21.61,7.91,9.59
7/6/2025 15:00,22.1,7.93,9.44
7/6/2025 16:00,22.39,7.96,9.35
7/6/2025 17:00,22.47,7.95,9.22
7/6/2025 18:00,22.28,7.91,9.17
7/6/2025 19:00,22.09,7.84,9.07
7/6/2025 20:00,21.94,7.75,8.95
7/6/2025 21:00,21.66,7.65,8.8
7/6/2025 22:00,21.29,7.57,8.69
7/6/2025 23:00,20.86,7.52,8.66
7/7/2025 0:00,20.44,7.49,8.69
7/7/2025 1:00,20.08,7.47,8.72
7/7/2025 2:00,19.77,7.46,8.77
7/7/2025 3:00,19.5,7.46,8.81
7/7/2025 4:00,19.25,7.45,8.86
7/7/2025 5:00,19.03,7.44,8.9
7/7/2025 6:00,18.86,7.45,8.96
7/7/2025 7:00,18.73,7.47,9.09
7/7/2025 8:00,18.72,7.51,9.24
7/7/2025 9:00,18.97,7.57,9.41
7/7/2025 10:00,19.5,7.65,9.53
7/7/2025 11:00,20.18,7.73,9.58
7/7/2025 12:00,20.94,7.79,9.57
7/7/2025 13:00,21.65,7.85,9.53
7/7/2025 14:00,22.13,7.91,9.47
7/7/2025 15:00,22.53,7.96,9.37
7/7/2025 16:00,22.94,7.96,9.24
7/7/2025 17:00,23.23,7.92,9.05
7/7/2025 18:00,23.35,7.86,8.9
7/7/2025 19:00,23.21,7.78,8.77
7/7/2025 20:00,22.92,7.71,8.73
7/7/2025 21:00,22.44,7.62,8.6
7/7/2025 22:00,21.9,7.55,8.53
7/7/2025 23:00,21.44,7.51,8.51
7/8/2025 0:00,20.99,7.49,8.53
7/8/2025 1:00,20.58,7.47,8.59
7/8/2025 2:00,20.2,7.47,8.65
7/8/2025 3:00,19.89,7.45,8.71
7/8/2025 4:00,19.65,7.46,8.75
7/8/2025 5:00,19.5,7.45,8.79
7/8/2025 6:00,19.34,7.45,8.85
7/8/2025 7:00,19.23,7.49,8.98
7/8/2025 8:00,19.31,7.55,9.21
7/8/2025 9:00,19.56,7.65,9.41
7/8/2025 10:00,20.08,7.74,9.53
7/8/2025 11:00,20.57,7.82,9.58
7/8/2025 12:00,21.14,7.91,9.59
7/8/2025 13:00,21.51,7.95,9.52
7/8/2025 14:00,21.78,8,9.49
7/8/2025 15:00,22.27,8.06,9.44
7/8/2025 16:00,22.25,7.97,9.22
7/8/2025 17:00,22.1,7.94,9.18
7/8/2025 18:00,21.93,7.89,9.11
7/8/2025 19:00,21.64,7.82,9.06
7/8/2025 20:00,21.31,7.74,8.97
7/8/2025 21:00,21,7.64,8.85
7/8/2025 22:00,20.73,7.57,8.76
7/8/2025 23:00,20.5,7.53,8.73
7/9/2025 0:00,20.26,7.51,8.73
7/9/2025 1:00,20.08,7.49,8.74
7/9/2025 2:00,19.91,7.48,8.77
7/9/2025 3:00,19.75,7.48,8.8
7/9/2025 4:00,19.63,7.46,8.82
7/9/2025 5:00,19.51,7.46,8.84
7/9/2025 6:00,19.42,7.47,8.87
7/9/2025 7:00,19.37,7.49,8.98
7/9/2025 8:00,19.38,7.53,9.1
7/9/2025 9:00,19.4,7.55,9.18
7/9/2025 10:00,19.55,7.62,9.4
7/9/2025 11:00,19.79,7.72,9.55
7/9/2025 12:00,20.03,7.8,9.65
7/9/2025 13:00,20.14,7.83,9.64
7/9/2025 14:00,20.27,7.88,9.65
7/9/2025 15:00,20.73,7.98,9.69
7/9/2025 16:00,21.34,8.04,9.62
7/9/2025 17:00,21.48,8.02,9.51
7/9/2025 18:00,21.39,7.96,9.39
7/9/2025 19:00,21.37,7.89,9.28
7/9/2025 20:00,20.92,7.82,9.21
7/9/2025 21:00,20.48,7.71,9.09
7/9/2025 22:00,20.14,7.61,8.97
7/9/2025 23:00,19.82,7.55,8.93
7/10/2025 0:00,19.51,7.52,8.93
7/10/2025 1:00,19.21,7.5,8.96
7/10/2025 2:00,18.93,7.48,8.99
7/10/2025 3:00,18.72,7.47,9.03
7/10/2025 4:00,18.51,7.47,9.07
7/10/2025 5:00,18.35,7.46,9.1
7/10/2025 6:00,18.25,7.47,9.16
7/10/2025 7:00,18.17,7.5,9.31
7/10/2025 8:00,18.19,7.56,9.47
7/10/2025 9:00,18.41,7.62,9.66
7/10/2025 10:00,18.87,7.71,9.81
7/10/2025 11:00,19.46,7.8,9.87
7/10/2025 12:00,19.95,7.89,9.9
7/10/2025 13:00,20.6,7.98,9.85
7/10/2025 14:00,20.79,8.02,9.8
7/10/2025 15:00,20.95,8.06,9.76
7/10/2025 16:00,21.21,8.11,9.69
7/10/2025 17:00,21.34,8.09,9.57
7/10/2025 18:00,21.34,8.01,9.43
7/10/2025 19:00,21.28,7.91,9.31
7/10/2025 20:00,21.02,7.79,9.19
7/10/2025 21:00,20.66,7.68,9.05
7/10/2025 22:00,20.27,7.58,8.95
7/10/2025 23:00,19.9,7.53,8.92
7/11/2025 0:00,19.58,7.49,8.93
7/11/2025 1:00,19.3,7.47,8.95
7/11/2025 2:00,19.06,7.46,8.99
7/11/2025 3:00,18.83,7.45,9.03
7/11/2025 4:00,18.62,7.45,9.07
7/11/2025 5:00,18.44,7.45,9.1
7/11/2025 6:00,18.28,7.45,9.15
7/11/2025 7:00,18.17,7.47,9.28
7/11/2025 8:00,18.18,7.51,9.43
7/11/2025 9:00,18.44,7.57,9.59
7/11/2025 10:00,19.02,7.66,9.71
7/11/2025 11:00,19.74,7.73,9.75
7/11/2025 12:00,20.54,7.79,9.72
7/11/2025 13:00,21.32,7.84,9.66
7/11/2025 14:00,21.99,7.89,9.57
7/11/2025 15:00,22.56,7.92,9.43
7/11/2025 16:00,22.93,7.92,9.28
7/11/2025 17:00,23.18,7.94,9.17
7/11/2025 18:00,23.2,7.92,9.09
7/11/2025 19:00,23.04,7.86,8.96
7/11/2025 20:00,22.72,7.75,8.81
7/11/2025 21:00,22.24,7.65,8.69
7/11/2025 22:00,21.8,7.57,8.6
7/11/2025 23:00,21.38,7.51,8.59
7/12/2025 0:00,21.01,7.49,8.61
7/12/2025 1:00,20.68,7.47,8.65
7/12/2025 2:00,20.39,7.47,8.69
7/12/2025 3:00,20.13,7.46,8.74
7/12/2025 4:00,19.88,7.46,8.78
7/12/2025 5:00,19.65,7.45,8.82
7/12/2025 6:00,19.46,7.45,8.89
7/12/2025 7:00,19.32,7.48,9.01
7/12/2025 8:00,19.28,7.52,9.17
7/12/2025 9:00,19.47,7.58,9.34
7/12/2025 10:00,19.97,7.66,9.48
7/12/2025 11:00,20.64,7.74,9.54
7/12/2025 12:00,21.39,7.8,9.53
7/12/2025 13:00,22.13,7.85,9.48
7/12/2025 14:00,22.78,7.88,9.39
7/12/2025 15:00,23.31,7.9,9.26
7/12/2025 16:00,23.67,7.9,9.13
7/12/2025 17:00,23.88,7.85,8.94
7/12/2025 18:00,23.96,7.8,8.8
7/12/2025 19:00,23.88,7.74,8.69
7/12/2025 20:00,23.62,7.67,8.58
7/12/2025 21:00,23.23,7.6,8.51
7/12/2025 22:00,22.77,7.53,8.43
7/12/2025 23:00,22.33,7.49,8.41
7/13/2025 0:00,21.95,7.46,8.43
7/13/2025 1:00,21.62,7.45,8.47
7/13/2025 2:00,21.32,7.44,8.51
7/13/2025 3:00,21.02,7.45,8.55
7/13/2025 4:00,20.73,7.44,8.6
7/13/2025 5:00,20.46,7.43,8.65
7/13/2025 6:00,20.23,7.44,8.73
7/13/2025 7:00,20.07,7.45,8.85
7/13/2025 8:00,20.04,7.49,9.01
7/13/2025 9:00,20.24,7.54,9.18
7/13/2025 10:00,20.78,7.62,9.33
7/13/2025 11:00,21.46,7.71,9.39
7/13/2025 12:00,22.24,7.78,9.41
7/13/2025 13:00,22.95,7.84,9.36
7/13/2025 14:00,23.58,7.87,9.28
7/13/2025 15:00,23.91,7.87,9.13
7/13/2025 16:00,23.96,7.83,8.96
7/13/2025 17:00,23.92,7.79,8.84
7/13/2025 18:00,24.09,7.76,8.74
7/13/2025 19:00,24.3,7.73,8.61
